Tipo dato,Time,Value
tasso di fecondità totale,2004,1.27
tasso di fecondità totale,2005,1.33
tasso di fecondità totale,2006,1.42
tasso di fecondità totale,2007,1.45
tasso di fecondità totale,2008,1.54
tasso di fecondità totale,2009,1.54
tasso di fecondità totale,2010,1.49
tasso di fecondità totale,2011,1.48
tasso di fecondità totale,2012,1.48
tasso di fecondità totale,2013,1.43
tasso di fecondità totale,2014,1.43
tasso di fecondità totale,2015,1.41
tasso di fecondità totale,2016,1.39
tasso di fecondità totale,2017,1.37
tasso di fecondità totale,2018,1.36
tasso di fecondità totale,2019,1.3
tasso di fecondità totale,2020,1.28
età media delle madri al parto,2004,30.73
età media delle madri al parto,2005,30.35
età media delle madri al parto,2006,30.7
età media delle madri al parto,2007,30.75
età media delle madri al parto,2008,30.75
età media delle madri al parto,2009,30.75
età media delle madri al parto,2010,30.98
età media delle madri al parto,2011,31.05
età media delle madri al parto,2012,31.02
età media delle madri al parto,2013,31.06
età media delle madri al parto,2014,31.07
età media delle madri al parto,2015,31.25
età media delle madri al parto,2016,31.18
età media delle madri al parto,2017,31.41
età media delle madri al parto,2018,31.64
età media delle madri al parto,2019,31.73
età media delle madri al parto,2020,31.66
età media dei padri alla nascita del figlio,2004,34.83
età media dei padri alla nascita del figlio,2005,34.38
età media dei padri alla nascita del figlio,2006,34.8
età media dei padri alla nascita del figlio,2007,34.82
età media dei padri alla nascita del figlio,2008,34.82
età media dei padri alla nascita del figlio,2009,34.75
età media dei padri alla nascita del figlio,2010,34.91
età media dei padri alla nascita del figlio,2011,34.99
età media dei padri alla nascita del figlio,2012,34.82
età media dei padri alla nascita del figlio,2013,34.78
età media dei padri alla nascita del figlio,2014,34.81
età media dei padri alla nascita del figlio,2015,34.98
età media dei padri alla nascita del figlio,2016,34.93
età media dei padri alla nascita del figlio,2017,35.07
età media dei padri alla nascita del figlio,2018,35.32
età media dei padri alla nascita del figlio,2019,35.39
età media dei padri alla nascita del figlio,2020,35.26
